# .test .cputime .temperature .time_mat1 .time_mat2
151 0.151794  2.922 0.000756 0.000873
152 0.153340  3.896 0.000740 0.000943
153 0.155289  4.383 0.000723 0.000906
154 0.154690  3.896 0.000760 0.000908
155 0.157037  3.409 0.000796 0.000923
156 0.157419  3.409 0.000779 0.000975
157 0.158102  3.896 0.000759 0.000985
158 0.159188  3.409 0.000802 0.000957
159 0.160258  4.870 0.000779 0.001038
160 0.161474  4.383 0.000811 0.000979
161 0.162676  4.383 0.000815 0.001038
162 0.162990  4.870 0.000899 0.001006
163 0.164252  3.896 0.000835 0.001039
164 0.165197  2.922 0.000852 0.001047
165 0.166496  2.922 0.000853 0.001064
166 0.167561  4.383 0.000914 0.001055
167 0.169032  3.409 0.000871 0.001112
168 0.168507  3.896 0.000893 0.001079
169 0.170133  3.896 0.000897 0.001094
170 0.171942  3.409 0.000913 0.001105
171 0.171911  3.896 0.000917 0.001165
172 0.173181  4.870 0.000928 0.001165
173 0.173795  3.896 0.000942 0.001184
174 0.176538  3.896 0.000947 0.001160
175 0.175701  3.409 0.000963 0.001226
176 0.176436  3.896 0.000968 0.001211
177 0.179065  3.409 0.001051 0.001206
178 0.178139  4.383 0.001035 0.001244
179 0.181509  4.870 0.001053 0.001247
180 0.181454  4.870 0.001064 0.001252
181 0.181161  4.383 0.001085 0.001265
182 0.182715  3.896 0.001037 0.001277
183 0.184416  4.870 0.001102 0.001293
184 0.184377  4.870 0.001042 0.001363
185 0.187378  4.383 0.001084 0.001326
186 0.187053  3.896 0.001066 0.001394
187 0.188637  4.870 0.001105 0.001358
188 0.191369  5.357 0.001138 0.001370
189 0.189711  4.870 0.001162 0.001388
190 0.190723  3.896 0.001109 0.001396
191 0.193820  3.896 0.001152 0.001480
192 0.193544  4.383 0.001133 0.001482
193 0.193614  4.870 0.001173 0.001484
194 0.195697  5.357 0.001158 0.001470
195 0.195045  4.383 0.001250 0.001505
196 0.196699  3.896 0.001226 0.001502
197 0.196742  4.383 0.001224 0.001562
198 0.198145  3.896 0.001249 0.001576
199 0.201631  4.870 0.001252 0.001552
200 0.200383  4.383 0.001275 0.001569
201 0.201579  4.383 0.001299 0.001588
202 0.204005  4.870 0.001301 0.001614
203 0.204616  4.383 0.001348 0.001619
204 0.204167  5.357 0.001281 0.001704
205 0.205583  5.357 0.001372 0.001656
206 0.207212  4.870 0.001311 0.001789
207 0.208700  4.870 0.001387 0.001769
208 0.208917  5.357 0.001334 0.001789
209 0.210730  5.357 0.001409 0.001724
210 0.210581  4.870 0.001356 0.001803
211 0.212057  4.870 0.001435 0.001831
212 0.212915  5.357 0.001441 0.001891
213 0.214851  3.896 0.001421 0.001816
214 0.213331  4.870 0.001456 0.001884
215 0.217780  5.844 0.001488 0.001882
216 0.218877  4.870 0.001494 0.001935
217 0.217901  4.870 0.001514 0.001928
218 0.219285  4.870 0.001522 0.001958
219 0.218130  4.870 0.001594 0.001924
220 0.220981  4.870 0.001577 0.001934
221 0.221427  6.331 0.001560 0.002027
222 0.221995  5.844 0.001610 0.001979
223 0.224700  5.844 0.001631 0.002001
224 0.225303  5.357 0.001600 0.002129
225 0.224879  4.383 0.001621 0.002130
226 0.226353  4.870 0.001687 0.002108
227 0.229466  5.357 0.001658 0.002199
228 0.228600  5.357 0.001623 0.002174
229 0.231143  5.357 0.001630 0.002196
230 0.230560  5.357 0.001743 0.002158
231 0.233009  5.357 0.001705 0.002237
232 0.232563  4.870 0.001731 0.002289
233 0.234018  5.357 0.001738 0.002210
234 0.236960  4.870 0.001758 0.002309
235 0.236445  6.331 0.001754 0.002356
236 0.236361  5.844 0.001801 0.002328
237 0.239423  4.383 0.001735 0.002368
238 0.238420  5.357 0.001832 0.002417
239 0.240804  5.357 0.001804 0.002405
240 0.240183  5.357 0.001893 0.002373
241 0.241364  4.870 0.001845 0.002464
242 0.243460  5.844 0.001909 0.002499
243 0.243288  5.844 0.001829 0.002507
244 0.244246  5.844 0.001928 0.002574
245 0.248400  5.357 0.001975 0.002536
246 0.247624  5.357 0.001999 0.002584
247 0.248248  4.870 0.001965 0.002642
248 0.252407  6.331 0.002007 0.002700
249 0.249526  4.870 0.001986 0.002626
250 0.252119  5.844 0.002037 0.002757
251 0.253057  6.818 0.002083 0.002634
252 0.252493  6.818 0.002114 0.002752
253 0.252041  6.818 0.002022 0.002848
254 0.255363  5.357 0.002031 0.002857
255 0.267861  6.818 0.002068 0.002799
256 0.259125  5.357 0.002201 0.002783
257 0.269395  5.844 0.002071 0.002967
258 0.260062  5.844 0.002235 0.002876
259 0.262621  5.844 0.002206 0.002902
260 0.258679  5.844 0.002230 0.003422
261 0.260335  6.331 0.002118 0.003055
262 0.264236  5.844 0.002256 0.002989
263 0.264659  4.870 0.002250 0.003073
264 0.264263  6.331 0.002334 0.003024
265 0.266725  5.357 0.002316 0.003389
266 0.266151  5.357 0.002293 0.003040
267 0.269148  6.331 0.002282 0.003155
268 0.268433  6.331 0.002326 0.003231
269 0.269626  5.844 0.002326 0.003219
270 0.274992  5.844 0.002364 0.003299
271 0.271462  6.331 0.002404 0.003323
272 0.274035  5.844 0.002424 0.003329
273 0.275909  6.331 0.002393 0.003339
274 0.275678  6.331 0.002364 0.003402
275 0.276234  6.331 0.002504 0.003464
276 0.278122  6.818 0.002718 0.003449
277 0.278130  6.331 0.002575 0.003481
278 0.279475  5.357 0.002429 0.003509
279 0.279473  5.844 0.002568 0.003516
280 0.282579  5.844 0.002511 0.003606
281 0.282542  5.844 0.002599 0.003686
282 0.282662  5.844 0.002581 0.003585
283 0.283622  6.331 0.002602 0.003697
284 0.286166  6.331 0.002534 0.003695
285 0.285963  5.844 0.002592 0.003728
286 0.287579  6.818 0.002606 0.003806
287 0.289555  6.818 0.002829 0.003764
288 0.288267  7.305 0.002655 0.003850
289 0.289606  6.331 0.002745 0.003908
290 0.290421  6.331 0.002629 0.003959
291 0.294391  6.331 0.002808 0.003966
292 0.293110  6.331 0.002710 0.003938
293 0.293130  7.305 0.002839 0.003955
294 0.297294  5.844 0.002756 0.004093
295 0.296500  6.331 0.002846 0.004070
296 0.297346  7.305 0.002835 0.004082
297 0.298902  6.331 0.002982 0.004157
298 0.297642  6.818 0.002785 0.004195
299 0.300556  6.818 0.002879 0.004199
300 0.300697  6.331 0.002814 0.004212
301 0.300231  6.818 0.002914 0.004315
302 0.303278  6.818 0.002909 0.004400
303 0.303868  6.818 0.003116 0.004346
304 0.305692  6.331 0.002943 0.004348
305 0.310871  6.818 0.003016 0.004423
306 0.306547  6.818 0.002937 0.004442
307 0.305680  6.818 0.003111 0.004509
308 0.311990  7.305 0.003079 0.004482
309 0.308311  6.818 0.003124 0.004610
310 0.310258  6.331 0.003026 0.004664
311 0.314436  6.331 0.003224 0.004766
312 0.312814  7.305 0.003203 0.004698
313 0.313767  6.818 0.003204 0.004732
314 0.314474  6.818 0.003173 0.004746
315 0.315113  6.818 0.003252 0.004829
316 0.322013  7.305 0.003239 0.004782
317 0.317839  7.792 0.003282 0.004976
318 0.319460  6.331 0.003290 0.004928
319 0.324688  5.844 0.003372 0.004969
320 0.319765  6.331 0.003456 0.004986
321 0.321892  6.331 0.003460 0.005022
322 0.324031  7.792 0.003333 0.005087
323 0.325283  7.305 0.003380 0.005036
324 0.325071  7.305 0.003361 0.005277
325 0.326959  8.279 0.003381 0.005148
326 0.326015  6.818 0.003442 0.005220
327 0.329931  6.331 0.003402 0.005248
328 0.327552  6.331 0.003443 0.005344
329 0.331117  6.818 0.003393 0.005361
330 0.338270  7.305 0.003528 0.005450
331 0.331374  6.818 0.003478 0.005388
332 0.334568  6.331 0.003641 0.005473
333 0.334661  7.792 0.003608 0.005533
